title,link,type
How to implement Naive Bayes from scratch with Python,https://www.youtube.com/watch?v=TLInuAorxqE,regular
How to implement Random Forest from scratch with Python,https://www.youtube.com/watch?v=kFwe2ZZU7yw,regular
How to implement Decision Trees from scratch with Python,https://www.youtube.com/watch?v=NxEHSAfFlK8,regular
How to implement Logistic Regression from scratch with Python,https://www.youtube.com/watch?v=YYEJ_GUguHw,regular
How to implement Linear Regression from scratch with Python,https://www.youtube.com/watch?v=ltXSoduiVwY,regular
Machine Learning From Scratch Full course,https://www.youtube.com/watch?v=p1hGz0w_OCo,regular
How to implement KNN from scratch with Python,https://www.youtube.com/watch?v=rTEtEy5o3X0,regular
How I would learn Machine Learning (if I could start over),https://www.youtube.com/watch?v=wtolixa9XTg,regular
Stable Diffusion Tutorial: How to generate your own images from text,https://www.youtube.com/watch?v=CtlxYoya2Sc,regular
"GIVEAWAY: Airpods MAX, Camera, Microphone!!! 10K Subscribers Special",https://www.youtube.com/watch?v=GhguZIfdfxE,regular
10 NumPy Tips and Tricks You Should Know!,https://www.youtube.com/watch?v=FDHDYqVAP4E,regular
"How to Transcribe Multiple Languages | Spanish, German, Japanese and more!",https://www.youtube.com/watch?v=DwxmKKD8c3s,regular
3 Must Know VS Code Features for ML & Data Science!,https://www.youtube.com/watch?v=PMR4n9XtrEY,regular
"Deploy ML models with FastAPI, Docker, and Heroku | Tutorial",https://www.youtube.com/watch?v=h5wLuVDr0oc,regular
Build your own real-time voice command recognition model with TensorFlow,https://www.youtube.com/watch?v=m-JzldXm9bQ,regular
Is it better than DALL-E 2? | How does Imagen Actually Work?,https://www.youtube.com/watch?v=jNW8qiwCiyI,regular
PyTorch Crash Course - Getting Started with Deep Learning,https://www.youtube.com/watch?v=OIenNRt2bjg,regular
JAX Crash Course - Accelerating Machine Learning code!,https://www.youtube.com/watch?v=juo5G3t4qAo,regular
How to do content moderation on audio files in Python,https://www.youtube.com/watch?v=-tbBtQy9rFk,regular
Named entity recognition on audio files with Python,https://www.youtube.com/watch?v=7jrs3DrMVJQ,regular
Diffusion models explained in 4-difficulty levels,https://www.youtube.com/watch?v=yTAMrHVG1ew,regular
Build a Virtual Assistant in Python | Speech Recognition Project 5,https://www.youtube.com/watch?v=p-3tZH-I2xI,regular
